id,sentence,type
bbc_172,the israel defense forces idf called the killing of staff from world central kitchen wck a grave accident,pro-israeli
bbc_172,wck called the idfs apology cold comfort for the aid workers families and urged an independent investigation,pro-israeli
bbc_172,three commanders have been formally reprimanded for their overall responsibility in the strikes which the idf said were carried out in breach of army rules,pro-israeli
bbc_172,the idf said those who carried out the attack could also face criminal prosecution,pro-israeli
bbc_172,in response world central kitchen said the idf had taken important steps forward by disciplining those involved in the attack but called for an independent investigation,pro-israeli
bbc_172, us secretary of state antony blinken said washington was carefully reviewing the inquiry and would assess what steps israel was taking to ensure that something like this can never happen again,pro-israeli
bbc_172,one of the seven aid workers killed was a polish national,pro-israeli
bbc_172,it is not clear when these would be opened or under what conditions,pro-palestinian
bbc_172,the united nations un has warned an estimated 1,pro-palestinian
bbc_172,israel is widely believed to be behind the strike,pro-israeli
bbc_172,on friday hezbollahs leader hassan nasrallah said the iranian response is coming without a doubt,pro-israeli
bbc_173,judge lodder said if you break your conditions or if you fail to attend court as required you will be committing an offence,pro-israeli
bbc_174,the fastfood giant uses a franchise system which means that individual operators are licensed to run outlets and employ staff,pro-palestinian
bbc_174,in the 30 years the businessman has been operating restaurants for mcdonalds in israel he has been at the centre of a number of disputes,pro-israeli
bbc_174,mr padans company alonyal was asked to set up a restaurant in a shopping centre but declined saying the firm had a policy of staying out of the occupied territories,pro-palestinian
bbc_174,at the time the firm said the decision had not been coordinated with mcdonalds headquarters in the us,pro-israeli
bbc_174,mr padan is one of the founders of the group peace now which opposes all settlements and views them as obstacles to peace,pro-palestinian
bbc_174,peace now says he is no longer a member of the group which was founded in 1978,pro-palestinian
bbc_174,protests were also held outside the fastfood chains restaurants in tel aviv,pro-israeli
bbc_174,and on thursday it was abruptly announced that alonyal would sell the sprawling franchise back to the us food giant,pro-palestinian
bbc_174,the terms of the deal were not disclosed by mcdonalds although a reputation management expert who has worked on behalf a number of large companies but did not want to speak on the record said that those outraged by the decision to offer free meals to israeli forces may be angry that this deal makes mr padan possibly a very rich man,pro-israeli
bbc_174,for the unit that includes the middle east china and india sales growth stood at 0,pro-palestinian
bbc_174,the brand management expert said i get it,pro-israeli
bbc_174, it also thanked alonyal for building the brand in israel while mr padan said we are encouraged by what the future holds,pro-israeli
bbc_175,it comes after the israel defense forces idf said grave mistakes led to the fatal targeting of the workers,pro-israeli
bbc_175,an israeli military inquiry led to two senior officers being dismissed,pro-israeli
bbc_175,in a statement erin gore continued the idfs apologies for the outrageous killing of our colleagues represent cold comfort,pro-israeli
bbc_175,us secretary of state antony blinken said he had received the israeli report and was reviewing it very carefully,pro-israeli
bbc_175,he said the us will be looking to see not just what steps are being taken but the results that follow from them,pro-israeli
bbc_175,on friday more than three dozen members of congress including former house speaker nancy pelosi signed a letter urging the us president and mr blinken to reconsider the authorisation of an arms package transfer to israel,pro-israeli
bbc_175, in the space of four minutes on 1 april the seven aid workers were killed when three missiles destroyed their cars one by one as they engaged in humanitarian work,pro-israeli
bbc_175,the charitys team had been authorised by the israeli military to help transfer aid supplies from the coast to a warehouse,pro-israeli
bbc_175,the army apologised after admitting its soldiers did not follow protocols and were not given crucial information about the preapproved aid mission,pro-israeli
bbc_175,uk foreign secretary lord david cameron said british officials were carefully reviewing the initial findings and called the dismissal of two officers a first step,pro-israeli
bbc_175,the israeli investigation was carried out via a preexisting disciplinary procedure which deals with allegations of military misconduct and was overseen by a reservist major general,pro-israeli
bbc_175,idf spokesman rear adm daniel hagari described the report as being carried out by a professional independent body that is outside of the chain of command,pro-israeli
bbc_175,on friday he told a press conference the findings would be made public in a clear and transparent manner after being presented in full to wck and representatives of countries whose citizens were killed in the incident,pro-palestinian
bbc_175,he told a press conference the israeli government has acknowledged mistakes  but the essential problem is not who made the mistakes it is the military strategy and procedures in place that allow for those mistakes to multiply time and time again,pro-israeli
bbc_175,fixing those failures requires independent investigations and meaningful and measurable changes on the ground,pro-palestinian
bbc_175,it is not clear when these would be opened or under what conditions,pro-palestinian
bbc_176,it comes after the israel defense forces idf said grave mistakes led to the fatal targeting of the workers,pro-israeli
bbc_176,an israeli military inquiry led to two senior officers being dismissed,pro-israeli
bbc_176,in a statement erin gore continued the idfs apologies for the outrageous killing of our colleagues represent cold comfort,pro-israeli
bbc_176,us secretary of state antony blinken said he had received the israeli report and was reviewing it very carefully,pro-israeli
bbc_176,he said the us will be looking to see not just what steps are being taken but the results that follow from them,pro-israeli
bbc_176,on friday more than three dozen members of congress including former house speaker nancy pelosi signed a letter urging the us president and mr blinken to reconsider the authorisation of an arms package transfer to israel,pro-israeli
bbc_176, in the space of four minutes on 1 april the seven aid workers were killed when three missiles destroyed their cars one by one as they engaged in humanitarian work,pro-israeli
bbc_176,the charitys team had been authorised by the israeli military to help transfer aid supplies from the coast to a warehouse,pro-israeli
bbc_176,the army apologised after admitting its soldiers did not follow protocols and were not given crucial information about the preapproved aid mission,pro-israeli
bbc_176,uk foreign secretary lord david cameron said british officials were carefully reviewing the initial findings and called the dismissal of two officers a first step,pro-israeli
bbc_176,the israeli investigation was carried out via a preexisting disciplinary procedure which deals with allegations of military misconduct and was overseen by a reservist major general,pro-israeli
bbc_176,idf spokesman rear adm daniel hagari described the report as being carried out by a professional independent body that is outside of the chain of command,pro-israeli
bbc_176,on friday he told a press conference the findings would be made public in a clear and transparent manner after being presented in full to wck and representatives of countries whose citizens were killed in the incident,pro-palestinian
bbc_176,he told a press conference the israeli government has acknowledged mistakes  but the essential problem is not who made the mistakes it is the military strategy and procedures in place that allow for those mistakes to multiply time and time again,pro-israeli
bbc_176,fixing those failures requires independent investigations and meaningful and measurable changes on the ground,pro-palestinian
bbc_176,it is not clear when these would be opened or under what conditions,pro-palestinian
bbc_177,bbc verify has combed through public statements and social media posts by the israel defense forces idf and assessed the evidence behind israels stated aims,pro-israeli
bbc_177,but many of its military leadership structure are thought to be inside gaza,pro-palestinian
bbc_177,considered one of israels mostwanted men he would be the groups most senior leader to be killed since the war began,pro-israeli
bbc_177,one of those named in this category was mustafa thuraya who was working as a freelance journalist in southern gaza when his vehicle was hit in january,pro-palestinian
bbc_177,we also found duplicate names in the list which we have discounted from the total,pro-palestinian
bbc_177,israel is widely considered responsible for that attack,pro-israeli
bbc_177,according to israeli official figures 253 people were taken hostage on 7 october,pro-israeli
bbc_177,of the remaining 129 hostages israel says at least 34 are dead,pro-israeli
bbc_177,another 141 messages claim that a tunnel has been destroyed or dismantled,pro-palestinian
bbc_177,the labyrinth beneath gaza is made up of several components including tunnel routes and rooms of various sizes as well as the point at which the tunnel meets the surface  these are known as tunnel shafts,pro-palestinian
bbc_177,of the messages we analysed 36 referenced striking a total of more than 400 tunnel shafts,pro-palestinian
bbc_177,the simple destruction of tunnel shafts leaves the network intact she says,pro-palestinian
bbc_177,7 million people have been internally displaced according to the united nations,pro-palestinian
bbc_177,more than 56 of gazas buildings have been damaged or destroyed since 7 october according to satellite data analysis,pro-palestinian
bbc_177,clarification 9 april we originally quoted dr daphn richemondbarak as saying i dont think weve seen a lot of full destruction of tunnels in this war,pro-palestinian
bbc_177, however she was specifically referring to the destruction of tunnels using water,pro-palestinian
bbc_178,bbc verify has combed through public statements and social media posts by the israel defense forces idf and assessed the evidence behind israels stated aims,pro-israeli
bbc_178,but many of its military leadership structure are thought to be inside gaza,pro-palestinian
bbc_178,considered one of israels mostwanted men he would be the groups most senior leader to be killed since the war began,pro-israeli
bbc_178,one of those named in this category was mustafa thuraya who was working as a freelance journalist in southern gaza when his vehicle was hit in january,pro-palestinian
bbc_178,we also found duplicate names in the list which we have discounted from the total,pro-palestinian
bbc_178,israel is widely considered responsible for that attack,pro-israeli
bbc_178,according to israeli official figures 253 people were taken hostage on 7 october,pro-israeli
bbc_178,of the remaining 129 hostages israel says at least 34 are dead,pro-israeli
bbc_178,another 141 messages claim that a tunnel has been destroyed or dismantled,pro-palestinian
bbc_178,the labyrinth beneath gaza is made up of several components including tunnel routes and rooms of various sizes as well as the point at which the tunnel meets the surface  these are known as tunnel shafts,pro-palestinian
bbc_178,of the messages we analysed 36 referenced striking a total of more than 400 tunnel shafts,pro-palestinian
bbc_178,the simple destruction of tunnel shafts leaves the network intact she says,pro-palestinian
bbc_178,7 million people have been internally displaced according to the united nations,pro-palestinian
bbc_178,more than 56 of gazas buildings have been damaged or destroyed since 7 october according to satellite data analysis,pro-palestinian
bbc_178,clarification 9 april we originally quoted dr daphn richemondbarak as saying i dont think weve seen a lot of full destruction of tunnels in this war,pro-palestinian
bbc_178, however she was specifically referring to the destruction of tunnels using water,pro-palestinian
bbc_179,bbc verify has combed through public statements and social media posts by the israel defense forces idf and assessed the evidence behind israels stated aims,pro-israeli
bbc_179,but many of its military leadership structure are thought to be inside gaza,pro-palestinian
bbc_179,considered one of israels mostwanted men he would be the groups most senior leader to be killed since the war began,pro-israeli
bbc_179,one of those named in this category was mustafa thuraya who was working as a freelance journalist in southern gaza when his vehicle was hit in january,pro-palestinian
bbc_179,we also found duplicate names in the list which we have discounted from the total,pro-palestinian
bbc_179,israel is widely considered responsible for that attack,pro-israeli
bbc_179,according to israeli official figures 253 people were taken hostage on 7 october,pro-israeli
bbc_179,of the remaining 129 hostages israel says at least 34 are dead,pro-israeli
bbc_179,another 141 messages claim that a tunnel has been destroyed or dismantled,pro-palestinian
bbc_179,the labyrinth beneath gaza is made up of several components including tunnel routes and rooms of various sizes as well as the point at which the tunnel meets the surface  these are known as tunnel shafts,pro-palestinian
bbc_179,of the messages we analysed 36 referenced striking a total of more than 400 tunnel shafts,pro-palestinian
bbc_179,the simple destruction of tunnel shafts leaves the network intact she says,pro-palestinian
bbc_179,7 million people have been internally displaced according to the united nations,pro-palestinian
bbc_179,more than 56 of gazas buildings have been damaged or destroyed since 7 october according to satellite data analysis,pro-palestinian
bbc_179,clarification 9 april we originally quoted dr daphn richemondbarak as saying i dont think weve seen a lot of full destruction of tunnels in this war,pro-palestinian
bbc_179, however she was specifically referring to the destruction of tunnels using water,pro-palestinian
bbc_180,it has led the lib dems snp and some labour and conservative mps to urge the uk to reassess how it supports israel,pro-israeli
bbc_180,israeli officials reacted by sacking two senior military officers over the strikes which it has described as a grave mistake stemming from a serious failure,pro-israeli
bbc_180,foreign secretary lord david cameron previously said the uk would carefully review findings of the initial israel defense forces idf report into the incident which was released on friday,pro-israeli
bbc_181,his body has been brought back to israel the israel defense forces idf and israeli security agency isa said,pro-israeli
bbc_181, they said his remains were located using precise intelligence,pro-israeli
bbc_181,hours later his body was exhumed and returned to israel the report added,pro-israeli
bbc_181,she was released along with 104 other hostages during a sixday ceasefire at the end of november,pro-israeli
bbc_181,his father avraham was murdered in the kibbutz the idf and isa said,pro-israeli
bbc_181,mr katzirs sister carmit palty katzir blamed israeli authorities for her brothers death in a post on social media saying he would have returned alive had they agreed a new truce deal,pro-israeli
bbc_181,prime minister war cabinet and coalition members look at yourself in the mirror and say if your hands didnt spill blood,pro-israeli
bbc_181,in the video mr katzir said he had been close to dying more than once and called on the israeli government to stop the war and bring him and other hostages home,pro-israeli
bbc_181,he also repeatedly said he loved and missed his family,pro-israeli
bbc_181,israeli media said that according to idf estimates mr katzir was murdered by his captors in midjanuary soon after the video was published,pro-israeli
bbc_181,our mission is to locate and return the abductees home the idf and isa said on saturday,pro-israeli
bbc_181,this includes at least 46 deaths over the past 24 hours a ministry statement said,pro-israeli
bbc_181,according to israel 253 israelis and foreigners were taken during the attacks,pro-israeli
bbc_181,israel gives a slightly higher official figure because it includes four people taken hostage in 2014 and 2015,pro-israeli
bbc_182,the rallies in tel aviv and other cities came after the israeli defense forces idf recovered the body of hostage elad katzir,pro-israeli
bbc_182,later police forcibly dispersed the tel aviv crowd,pro-israeli
bbc_182,he appeared alive in a hostage video released in january,pro-israeli
bbc_182,the demonstrations were the latest of a series of huge antigovernment protests demanding that prime minister netanyahu step down amid fury that he has failed to free the remaining hostages,pro-israeli
bbc_182,police said the driver was arrested,pro-israeli
bbc_182,war cabinet member benny gantz called it horrific,pro-israeli
bbc_182,mr katzirs sister carmit palty katzir blamed israeli authorities for her brothers death in a post on social media saying he would have returned alive had they agreed a new truce deal,pro-israeli
bbc_182,prime minister war cabinet and coalition members look at yourself in the mirror and say if your hands didnt spill blood,pro-israeli
bbc_182,12 bodies have been recovered by the idf,pro-israeli
bbc_182,israel gives a slightly higher official figure because it includes four people taken hostage in 2014 and 2015,pro-israeli
bbc_183,the rallies in tel aviv and other cities came after the israeli defense forces idf recovered the body of hostage elad katzir,pro-israeli
bbc_183,later police forcibly dispersed the tel aviv crowd,pro-israeli
bbc_183,he appeared alive in a hostage video released in january,pro-israeli
bbc_183,the demonstrations were the latest of a series of huge antigovernment protests demanding that prime minister netanyahu step down amid fury that he has failed to free the remaining hostages,pro-israeli
bbc_183,police said the driver was arrested,pro-israeli
bbc_183,war cabinet member benny gantz called it horrific,pro-israeli
bbc_183,mr katzirs sister carmit palty katzir blamed israeli authorities for her brothers death in a post on social media saying he would have returned alive had they agreed a new truce deal,pro-israeli
bbc_183,prime minister war cabinet and coalition members look at yourself in the mirror and say if your hands didnt spill blood,pro-israeli
bbc_183,12 bodies have been recovered by the idf,pro-israeli
bbc_183,israel gives a slightly higher official figure because it includes four people taken hostage in 2014 and 2015,pro-israeli
bbc_184,the rallies in tel aviv and other cities came after the israeli defense forces idf recovered the body of hostage elad katzir,pro-israeli
bbc_184,later police forcibly dispersed the tel aviv crowd,pro-israeli
bbc_184,he appeared alive in a hostage video released in january,pro-israeli
bbc_184,the demonstrations were the latest of a series of huge antigovernment protests demanding that prime minister netanyahu step down amid fury that he has failed to free the remaining hostages,pro-israeli
bbc_184,police said the driver was arrested,pro-israeli
bbc_184,war cabinet member benny gantz called it horrific,pro-israeli
bbc_184,mr katzirs sister carmit palty katzir blamed israeli authorities for her brothers death in a post on social media saying he would have returned alive had they agreed a new truce deal,pro-israeli
bbc_184,prime minister war cabinet and coalition members look at yourself in the mirror and say if your hands didnt spill blood,pro-israeli
bbc_184,12 bodies have been recovered by the idf,pro-israeli
bbc_184,israel gives a slightly higher official figure because it includes four people taken hostage in 2014 and 2015,pro-israeli
bbc_185,israel is deeply divided as its prime minister struggles to keep his promise of total victory,pro-israeli
bbc_185,with iran vowing vengeance for israels assassination of a leading iranian general in syria and months of crossborder conflict with irans ally hezbollah in lebanon the risks of an allout middle east war are increasing,pro-israeli
bbc_185,more than 33000 gazans a majority of whom were civilians have been killed according to the health ministry,pro-palestinian
bbc_185,according to save the children 13800 palestinian children in gaza have been killed and over 12009 wounded,pro-palestinian
bbc_185,unicef reports at least 1000 children have had one or both legs amputated,pro-palestinian
bbc_185,israel says that of 130 hostages still there at least 34 are dead,pro-israeli
bbc_185,ron bahat showed me around,pro-palestinian
bbc_185,ron pointed out the homes of friends and neighbours who were killed or taken as captives to gaza,pro-palestinian
bbc_185,one grim irony is that nir oz is part of a leftwing movement whose members traditionally support the idea of peace with the palestinians,pro-palestinian
bbc_185,the moment that israel leaves its weapons we will not exist,pro-israeli
bbc_185, in nir oz broken glass still crunches underfoot and gutted houses smell of burnt wood and plastic,pro-palestinian
bbc_185,a few of the surviving residents have come back on short visits but most are staying away living in hotels in central israel,pro-israeli
bbc_185,yamit avital was back for a few hours showing around a friend,pro-palestinian
bbc_185,on that morning in october she had been staying in tel aviv,pro-israeli
bbc_185,i dont know its too earlyx0080 maybe only when the hostages come back we can start to think about it,pro-israeli
bbc_185,i have too many friends there in gaza,pro-palestinian
bbc_185, noone has been able to show me around the ruins of khan younis or gaza city or the tents of around 1,pro-palestinian
bbc_185,4 million displaced civilians in rafah in the way ron bahat showed me nir oz,pro-palestinian
bbc_185,the only exception has been invitationonly highly supervised trips organised by the israel defense forces idf,pro-israeli
bbc_185,i have been on one to northern gaza in early november,pro-palestinian
bbc_185,only a month or so into the war israeli firepower had already reduced the area to a wasteland,pro-israeli
bbc_185,israel rejects the charge that it is guilty of genocide,pro-israeli
bbc_185,for many of its citizens and supporters it is grotesque and offensive to allege that the state created after nazi germany murdered six million jews in the holocaust is itself committing genocide,pro-israeli
bbc_185,i recognise the holocaust but that does not mean a green light for israel to commit genocide against my people or any other people,pro-israeli
bbc_185,south africas legal team argues that statements like the one made by israels defence minister yoav gallant on 9 october show genocidal intent,pro-israeli
bbc_185,i have ordered a complete siege on the gaza strip,pro-palestinian
bbc_185,there will be no electricity no food no fuel everything is closed he said after visiting the idf southern command in beersheba,pro-israeli
bbc_185,the amounts reaching gaza were still grossly inadequate,pro-palestinian
bbc_185,seven from the world central kitchen wck which had been providing millions of meals were killed by the israeli army on 1 april,pro-israeli
bbc_185,their condemnation of the killings left israel even more isolated,pro-israeli
bbc_185,israel expects no sympathy from much of the world,pro-israeli
bbc_185,but it has come to expect support and understanding from powerful western allies,pro-palestinian
bbc_185,instead they have rejected israels claim it does not impede the movement of relief supplies,pro-israeli
bbc_185,perhaps he threatened to attach conditions to the use of american weapons in gaza,pro-palestinian
bbc_185,the killing of the wck team seems to have been a tipping point for president biden whose backing for israel has been a constant throughout his long career in politics,pro-israeli
bbc_185,supporting israel is still his firm principle but the us is no longer prepared to turn that into a safety net for benjamin netanyahu and his extremist coalition partners,pro-israeli
bbc_185,5 million palestinians who have taken refuge there,pro-palestinian
bbc_185,benjamin netanyahu has delivered the mighty vengeance he promised israelis on 7 october,pro-israeli
bbc_185,inside israel he faces severe political pressure,pro-israeli
bbc_185,netanyahu has an interest to lengthen the war as much as he can because as long as the war is still going on he can say that now is not the time for new elections said nava rosalio one of the leaders of the antinetanyahu movement,pro-israeli
bbc_185,her group is called busha in hebrew which translates as shame,pro-israeli
bbc_185,in the shock that followed reservists who had suspended their military service as part of the protests rushed back into uniform,pro-palestinian
bbc_185,demonstrations were paused in the interests of national unity,pro-palestinian
bbc_185,israels divisions are wide open once more,pro-israeli
bbc_185,mr netanyahu faces searing accusations that his priority is his own political survival,pro-israeli
bbc_185,mr netanyahus two main ultranationalist allies finance minister bezalel smotrich and national security minister itamar bengvir go further,pro-israeli
bbc_185,they both want palestinians to leave gaza so jews can settle there instead,pro-palestinian
bbc_185,six months on the same schisms within israel about the present and the future are making it harder to win the war,pro-israeli
bbc_185,but he is still alive sending his responses to proposals in successive rounds of ceasefire talks from wherever he is hiding,pro-palestinian
bbc_185,some must be taking the long view waiting to see how events unfold in gaza and the wider middle east,pro-palestinian
bbc_185,she said that was not the point,pro-israeli
bbc_185,what happened on 7 october is just one thing that happened in many long years of oppressionx0080 our struggle will continue until we are free,pro-palestinian
bbc_185,that is what any people under occupation under oppression under colonial settlers will do,pro-palestinian
bbc_185,it is impossible to see jewish israelis ever giving up the jewish nature of their state,pro-israeli
bbc_185,the fact that palestinians see that as a possibility is another sign of the distance between them,pro-palestinian
bbc_185,the americans want a pa revitalised eventually to govern gaza,pro-palestinian
bbc_185,current palestinian president mahmoud abbas is elderly and hugely unpopular,pro-palestinian
bbc_185,benjamin netanyahu has also rejected joe bidens idea of a grand bargain that would transform the middle east,pro-israeli
bbc_185,the palestinians are not seen as partners for peace,pro-palestinian
bbc_185,so they israelis question their humanity,pro-israeli
bbc_185,we see similar developments unfortunately also among palestinians who see what is happening in gaza,pro-palestinian
bbc_186,the military stressed a significant force would remain in gaza,pro-palestinian
bbc_186,this is another stage in the war effort israel defense forces idf spokesman lt col peter lerner told the bbc,pro-israeli
bbc_186,gaza is on the brink of famine with oxfam reporting that 300000 people trapped in the north have lived since january on an average of 245 calories a day,pro-palestinian
bbc_186,lt col lerner said the war is not over,pro-israeli
bbc_186,rafah is clearly a stronghold,pro-palestinian
bbc_186, us national security spokesman john kirby said it appeared to be a rest and refit and not necessarily,pro-israeli
bbc_186,but later israeli defence minister yoav gallant said the troops were leaving to prepare for their followup missions,pro-israeli
bbc_186,muhammad almughrabi 32 from gaza city currently living with his family in rafah told bbc news he was filled with hope as my neighbour in a tent from khan younis was able to return home,pro-palestinian
bbc_186,i will set up a tent over the rubble of my house and live there with dignity rather than being compelled to reside in the courtyard of a hospital he said,pro-israeli
bbc_186,marking six months of the war israeli prime minister benjamin netanyahu said israel was one step away from victory but insisted there would be no ceasefire without the release of israeli hostages,pro-israeli
bbc_186,antigovernment protesters were joined by hostages families,pro-israeli
bbc_186,the rallies in tel aviv and other cities came hours after the israel defense forces idf recovered the body of hostage elad katzir,pro-israeli
bbc_187,was this the week israel and hezbollah drew closer to war,pro-israeli
bbc_187,the military stressed a significant force would remain in gaza,pro-palestinian
bbc_187,this is another stage in the war effort israel defense forces idf spokesman lt col peter lerner told the bbc,pro-israeli
bbc_187,gaza is on the brink of famine with oxfam reporting that 300000 people trapped in the north have lived since january on an average of 245 calories a day,pro-palestinian
bbc_187,lt col lerner said the war is not over,pro-israeli
bbc_187,rafah is clearly a stronghold,pro-palestinian
bbc_187, us national security spokesman john kirby said it appeared to be a rest and refit and not necessarily,pro-israeli
bbc_187,but later israeli defence minister yoav gallant said the troops were leaving to prepare for their followup missions,pro-israeli
bbc_187,muhammad almughrabi 32 from gaza city currently living with his family in rafah told bbc news he was filled with hope as my neighbour in a tent from khan younis was able to return home,pro-palestinian
bbc_187,i will set up a tent over the rubble of my house and live there with dignity rather than being compelled to reside in the courtyard of a hospital he said,pro-israeli
bbc_187,marking six months of the war israeli prime minister benjamin netanyahu said israel was one step away from victory but insisted there would be no ceasefire without the release of israeli hostages,pro-israeli
bbc_187,antigovernment protesters were joined by hostages families,pro-israeli
bbc_187,the rallies in tel aviv and other cities came hours after the israel defense forces idf recovered the body of hostage elad katzir,pro-israeli
bbc_188,israel is widely believed to be behind the attack which iran said killed seven revolutionary guard officers,pro-israeli
bbc_188,us and israeli forces in the region have been put on high alert in anticipation of a possible attack,pro-israeli
bbc_188,reports in the us media suggest irans retaliation could take place in the coming days,pro-israeli
bbc_188,the idf israel defence forces can handle iran chief of general staff herzi halevi said in a televised statement,pro-israeli
bbc_188,we can act forcefully against iran in places near and far,pro-israeli
bbc_188, yahya rahim safavi a senior adviser to supreme leader ayatollah ali khamenei said iran had a legal and legitimate right to respond to mondays strike,pro-israeli
bbc_188,the embassies of the zionist regime are no longer safe he told irans isna news agency,pro-israeli
bbc_188,he did not provide further detail as to what shape irans response would take,pro-israeli
bbc_188,in a statement israeli defence minister yoav gallant said the defence establishment had completed preparations to respond to any possible scenario,pro-israeli
bbc_188,the bbc has not independently verified those reports and israel has not confirmed them,pro-israeli
bbc_188,in an apparent effort to prevent panic a spokesman for the israeli army said there was no need for people to buy generators gather food or withdraw money,pro-israeli
bbc_188,syrias defence ministry said israeli aircraft targeted the iranian consulate building at about 1700 local time 1400 gmt on monday,pro-israeli
bbc_188,irans revolutionary guards said that seven of its officers were killed in the strike including briggen mohammad reza zahedi and briggen mohammad hadi hajirahimi,pro-israeli
bbc_188,hours after the strike people in tehran burned israeli and us flags in protest,pro-israeli
bbc_188,israel and its closest ally the us have been anticipating an iranian attack ever since,pro-israeli
bbc_188,in the wake of the attack the israeli military said it did not comment on foreign media reports,pro-israeli
bbc_188,iran has avoided direct confrontation with israel during the conflict so far but mondays attack is seen as a serious escalation,pro-israeli
bbc_189,i am going to remove the rubble to get a shirt out mohammed abou diab said,pro-israeli
bbc_189,the israeli army said it was doing everything it could to protect civilians,pro-israeli
bbc_189,one woman nour ayyash said she couldnt reach her apartment because the stairs were gone,pro-israeli
bbc_189,but he told the bbc our biggest request is that israel withdraw from our land  theres been enough killing and destruction,pro-israeli
bbc_189,the same is true on the israeli side,pro-israeli
bbc_189,meanwhile the leaders of france egypt and jordan jointly called for an immediate ceasefire in gaza,pro-palestinian
bbc_190,i am going to remove the rubble to get a shirt out mohammed abou diab said,pro-israeli
bbc_190,the israeli army said it was doing everything it could to protect civilians,pro-israeli
bbc_190,one woman nour ayyash said she couldnt reach her apartment because the stairs were gone,pro-israeli
bbc_190,but he told the bbc our biggest request is that israel withdraw from our land  theres been enough killing and destruction,pro-israeli
bbc_190,the same is true on the israeli side,pro-israeli
bbc_190,meanwhile the leaders of france egypt and jordan jointly called for an immediate ceasefire in gaza,pro-palestinian
bbc_191, the remarks may be seen as an attempt to appeal to allies that sustain his coalition as any offensive is unlikely to be imminent,pro-palestinian
bbc_191,mr netanyahu did not indicate which date he had decided on,pro-israeli
bbc_191,writing in frances le monde newspaper they warned the plan would have dangerous consequences and threaten regional escalation adding the war in gaza and the catastrophic humanitarian suffering it is causing must end now,pro-palestinian
bbc_191,domestically there have been large protests demanding an agreement to guarantee the release of the hostages,pro-israeli
bbc_191,the relatives say time is running out to save the captives who remain alive,pro-palestinian
bbc_191,with talks involving intermediaries in cairo ongoing israeli defence minister yoav gallant suggested earlier this week that now was the right time for a deal over hostages,pro-israeli
bbc_191,on tuesday us defense secretary lloyd austin told a senate hearing that widespread famine in gaza would accelerate violence and it will have the effect of ensuring that theres a longterm conflict,pro-palestinian
bbc_191,it doesnt have to happen he said adding we should continue to do everything we can and we are doing this to encourage the israelis to provide humanitarian assistance,pro-israeli
bbc_192,tower hamlets council to remove palestinian flags an allfemale group of charity volunteers from birmingham have sent genderspecific products to women in gaza to help those in the region,pro-palestinian
bbc_192,the eight women spent last week in a warehouse in egypt packing and loading about 3000 hygiene kits on to a lorry which is due to be driven across the rafah border into gaza,pro-palestinian
bbc_192,saraya hussain from birmingham who led the project said handwritten messages of love peace and hope were included,pro-israeli
bbc_192,its not nice for anybody to have to do something like that so here we are she said,pro-israeli
bbc_192,the allfemale team at israuk embarked on a similar deployment to turkey last year following the earthquakes in the region,pro-palestinian
bbc_192,what we learnt from that was that largely in conflict and disaster areas womens needs their genderspecific needs are really often overlooked ms hussain said,pro-israeli
bbc_192,she has previously told how the group had decided to persevere with their trip despite the news of an israeli air strike killing seven world central kitchen aid workers on 1 april,pro-israeli
bbc_192,ms hussain said to lose their lives,pro-israeli
bbc_192,the products in the hygiene kits for women in gaza were purchased in egypt with money raised from public donations and fundraisers organised by volunteers in the uk,pro-palestinian
bbc_193,the israeli media has however responded very differently,pro-israeli
bbc_193,the formal reasons offered by israeli spokespersons for halting the war were operational in nature but every intelligent person can see that the timing is hardly coincidental,pro-israeli
bbc_193,but he stressed that a ceasefire would not be the end of the war there will be difficult decisions and we will be ready to pay the price in order to get the hostages back and then return to fighting,pro-israeli
bbc_193,but what palestinians have found on their return to khan younis is mass devastation with many of their homes reduced to rubble,pro-palestinian
bbc_193,they have described how gazas second city is now unliveable not even fit for animals as some have put it,pro-palestinian
bbc_193,but the further operations may also relate to the conflict on israels northern front with hezbollah in lebanon,pro-israeli
bbc_193,and there are fears that it could become far more intense following the suspected israeli strike in damascus that killed several senior commanders in irans powerful revolutionary guards last week,pro-israeli
bbc_193,hezbollah is closely allied to iran and has matched the rhetoric coming from tehran vowing revenge,pro-israeli
bbc_193,the israeli army has recently said that it has substantially strengthened its northern command,pro-israeli
bbc_193,so this too may have played a part in the troop withdrawal from gaza,pro-palestinian
bbc_194,one minute ago 10 tonnes of food and water was there the next it was floating gently by parachute in the southwesterly breeze touching down on the northern shores of gaza,pro-palestinian
bbc_194,yet the delivery of aid by air is anything but simple,pro-israeli
bbc_194,and it is far from uncontroversial,pro-palestinian
bbc_194,this was the largest coalition airdrop of the war 14 aircraft from nine nations delivering aid,pro-israeli
bbc_194,at a military airbase to the east of amman the capital of jordan we watched as aircrew from the uk the us the netherlands germany egypt indonesia uae and france were briefed by their jordanian counterparts,pro-palestinian
bbc_194,they need to know who is doing what and where the airspace over gaza is small,pro-palestinian
bbc_194,if the idf says no then the planes do not take off,pro-israeli
bbc_194,the aid is stacked in vast open hangars piles of flour sugar rice beans pulses oil and water,pro-israeli
bbc_194,everything is carefully weighed  each bundle cannot be too light or too heavy,pro-palestinian
bbc_194,the raf normally drops aid as low as 400ft but the israelis have stipulated they must do so no lower than 2000ft,pro-israeli
